e,alpha,a1,a2,mean_collapse_error,max_collapse_error
0.1,0.5,0.75,1.0,3.076279830241883e-10,7.947285970052084e-08
0.1,0.5,0.75,1.5,0.0,0.0
0.1,0.5,0.75,2.5,3.076274612864659e-10,7.947285970052084e-08
0.1,0.5,0.75,4.0,3.076279830241883e-10,7.947285970052084e-08
0.1,0.5,1.0,1.5,3.076279830241883e-10,7.947285970052084e-08
0.1,0.5,1.0,2.5,1.8518278274420514e-15,1.8186066534625353e-14
0.1,0.5,1.0,4.0,0.0,0.0
0.1,0.5,1.5,2.5,3.076274612864659e-10,7.947285970052084e-08
0.1,0.5,1.5,4.0,3.076279830241883e-10,7.947285970052084e-08
0.1,0.5,2.5,4.0,1.8518278274420514e-15,1.8186066534625353e-14
0.1,0.75,0.75,1.0,2.0508551395116982e-10,5.29819064670139e-08
0.1,0.75,0.75,1.5,0.0,0.0
0.1,0.75,0.75,2.5,2.0508511609290346e-10,5.298190646701389e-08
0.1,0.75,0.75,4.0,2.0508551395116982e-10,5.29819064670139e-08
0.1,0.75,1.0,1.5,2.0508551395116982e-10,5.29819064670139e-08
0.1,0.75,1.0,2.5,1.428452995544685e-15,1.2152251916731409e-14
0.1,0.75,1.0,4.0,0.0,0.0
0.1,0.75,1.5,2.5,2.0508511609290346e-10,5.298190646701389e-08
0.1,0.75,1.5,4.0,2.0508551395116982e-10,5.29819064670139e-08
0.1,0.75,2.5,4.0,1.428452995544685e-15,1.2152251916731409e-14
0.1,1.0,0.75,1.0,1.5381429251262914e-10,3.973642985026043e-08
0.1,1.0,0.75,1.5,0.0,0.0
0.1,1.0,0.75,2.5,1.5381394732470581e-10,3.973642985026042e-08
0.1,1.0,0.75,4.0,1.5381429251262914e-10,3.973642985026043e-08
0.1,1.0,1.0,1.5,1.5381429251262914e-10,3.973642985026043e-08
0.1,1.0,1.0,2.5,1.2227160448348746e-15,9.14372464446305e-15
0.1,1.0,1.0,4.0,0.0,0.0
0.1,1.0,1.5,2.5,1.5381394732470581e-10,3.973642985026042e-08
0.1,1.0,1.5,4.0,1.5381429251262914e-10,3.973642985026043e-08
0.1,1.0,2.5,4.0,1.2227160448348746e-15,9.14372464446305e-15
0.1,1.5,0.75,1.0,1.0254309480299426e-10,2.6490953233506963e-08
0.1,1.5,0.75,1.5,0.0,0.0
0.1,1.5,0.75,2.5,1.0254280241377058e-10,2.6490953233506956e-08
0.1,1.5,0.75,4.0,1.0254309480299426e-10,2.6490953233506963e-08
0.1,1.5,1.0,1.5,1.0254309480299426e-10,2.6490953233506963e-08
0.1,1.5,1.0,2.5,1.0440051255910894e-15,6.151727646379628e-15
0.1,1.5,1.0,4.0,0.0,0.0
0.1,1.5,1.5,2.5,1.0254280241377058e-10,2.6490953233506956e-08
0.1,1.5,1.5,4.0,1.0254309480299426e-10,2.6490953233506963e-08
0.1,1.5,2.5,4.0,1.0440051255910894e-15,6.151727646379628e-15
0.1,2.0,0.75,1.0,7.690750684317043e-11,1.9868214925130234e-08
0.1,2.0,0.75,1.5,0.0,0.0
0.1,2.0,0.75,2.5,7.690723537100473e-11,1.9868214925130224e-08
0.1,2.0,0.75,4.0,7.690750684317043e-11,1.9868214925130234e-08
0.1,2.0,1.0,1.5,7.690750684317043e-11,1.9868214925130234e-08
0.1,2.0,1.0,2.5,9.622649353507913e-16,4.792078701867869e-15
0.1,2.0,1.0,4.0,0.0,0.0
0.1,2.0,1.5,2.5,7.690723537100473e-11,1.9868214925130224e-08
0.1,2.0,1.5,4.0,7.690750684317043e-11,1.9868214925130234e-08
0.1,2.0,2.5,4.0,9.622649353507913e-16,4.792078701867869e-15
0.15,0.5,0.75,1.0,2.0628206827338662e-10,6.664001874625058e-08
0.15,0.5,0.75,1.5,0.0,0.0
0.15,0.5,0.75,2.5,1.2168420069858308e-15,4.064524256633425e-14
0.15,0.5,0.75,4.0,2.0628206827338662e-10,6.664001874625058e-08
0.15,0.5,1.0,1.5,2.0628206827338662e-10,6.664001874625058e-08
0.15,0.5,1.0,2.5,2.062818200097962e-10,6.664001874625056e-08
0.15,0.5,1.0,4.0,0.0,0.0
0.15,0.5,1.5,2.5,1.2168420069858308e-15,4.064524256633425e-14
0.15,0.5,1.5,4.0,2.0628206827338662e-10,6.664001874625058e-08
0.15,0.5,2.5,4.0,2.062818200097962e-10,6.664001874625056e-08
0.15,0.75,0.75,1.0,1.3752151281983595e-10,4.4426679164167054e-08
0.15,0.75,0.75,1.5,0.0,0.0
0.15,0.75,0.75,2.5,9.084580892882663e-16,2.7133772503016162e-14
0.15,0.75,0.75,4.0,1.3752151281983595e-10,4.4426679164167054e-08
0.15,0.75,1.0,1.5,1.3752151281983595e-10,4.4426679164167054e-08
0.15,0.75,1.0,2.5,1.3752134390061674e-10,4.442667916416705e-08
0.15,0.75,1.0,4.0,0.0,0.0
0.15,0.75,1.5,2.5,9.084580892882663e-16,2.7133772503016162e-14
0.15,0.75,1.5,4.0,1.3752151281983595e-10,4.4426679164167054e-08
0.15,0.75,2.5,4.0,1.3752134390061674e-10,4.442667916416705e-08
0.15,1.0,0.75,1.0,1.0314124366300346e-10,3.3320009373125295e-08
0.15,1.0,0.75,1.5,0.0,0.0
0.15,1.0,0.75,2.5,7.599068918740716e-16,2.038076344337229e-14
0.15,1.0,0.75,4.0,1.0314124366300346e-10,3.3320009373125295e-08
0.15,1.0,1.0,1.5,1.0314124366300346e-10,3.3320009373125295e-08
0.15,1.0,1.0,2.5,1.0314110819734222e-10,3.332000937312529e-08
0.15,1.0,1.0,4.0,0.0,0.0
0.15,1.0,1.5,2.5,7.599068918740716e-16,2.038076344337229e-14
0.15,1.0,1.5,4.0,1.0314124366300346e-10,3.3320009373125295e-08
0.15,1.0,2.5,4.0,1.0314110819734222e-10,3.332000937312529e-08
0.15,1.5,0.75,1.0,6.876099149565712e-11,2.2213339582083543e-08
0.15,1.5,0.75,1.5,0.0,0.0
0.15,1.5,0.75,2.5,6.261292163065265e-16,1.3653826763110114e-14
0.15,1.5,0.75,4.0,6.876099149565712e-11,2.2213339582083543e-08
0.15,1.5,1.0,1.5,6.876099149565712e-11,2.2213339582083543e-08
0.15,1.5,1.0,2.5,6.876089203062117e-11,2.2213339582083527e-08
0.15,1.5,1.0,4.0,0.0,0.0
0.15,1.5,1.5,2.5,6.261292163065265e-16,1.3653826763110114e-14
0.15,1.5,1.5,4.0,6.876099149565712e-11,2.2213339582083543e-08
0.15,1.5,2.5,4.0,6.876089203062117e-11,2.2213339582083527e-08
0.15,2.0,0.75,1.0,5.157087256912516e-11,1.666000468656267e-08
0.15,2.0,0.75,1.5,0.0,0.0
0.15,2.0,0.75,2.5,5.643339790737362e-16,1.0305846027829939e-14
0.15,2.0,0.75,4.0,5.157087256912516e-11,1.666000468656267e-08
0.15,2.0,1.0,1.5,5.157087256912516e-11,1.666000468656267e-08
0.15,2.0,1.0,2.5,5.1570788313607834e-11,1.666000468656265e-08
0.15,2.0,1.0,4.0,0.0,0.0
0.15,2.0,1.5,2.5,5.643339790737362e-16,1.0305846027829939e-14
0.15,2.0,1.5,4.0,5.157087256912516e-11,1.666000468656267e-08
0.15,2.0,2.5,4.0,5.1570788313607834e-11,1.666000468656265e-08
0.2,0.5,0.75,1.0,1.8753288831435046e-10,5.1619136559035694e-08
0.2,0.5,0.75,1.5,0.0,0.0
0.2,0.5,0.75,2.5,7.851815678392301e-16,1.8390619039330235e-14
0.2,0.5,0.75,4.0,1.8753288831435046e-10,5.1619136559035694e-08
0.2,0.5,1.0,1.5,1.8753288831435046e-10,5.1619136559035694e-08
0.2,0.5,1.0,2.5,1.8753283378354973e-10,5.1619136559035694e-08
0.2,0.5,1.0,4.0,0.0,0.0
0.2,0.5,1.5,2.5,7.851815678392301e-16,1.8390619039330235e-14
0.2,0.5,1.5,4.0,1.8753288831435046e-10,5.1619136559035694e-08
0.2,0.5,2.5,4.0,1.8753283378354973e-10,5.1619136559035694e-08
0.2,0.75,0.75,1.0,1.2502200645238077e-10,3.4412757706023796e-08
0.2,0.75,0.75,1.5,0.0,0.0
0.2,0.75,0.75,2.5,5.958182441283933e-16,1.2264855654931674e-14
0.2,0.75,0.75,4.0,1.2502200645238077e-10,3.4412757706023796e-08
0.2,0.75,1.0,1.5,1.2502200645238077e-10,3.4412757706023796e-08
0.2,0.75,1.0,2.5,1.2502198326751374e-10,3.4412757706023796e-08
0.2,0.75,1.0,4.0,0.0,0.0
0.2,0.75,1.5,2.5,5.958182441283933e-16,1.2264855654931674e-14
0.2,0.75,1.5,4.0,1.2502200645238077e-10,3.4412757706023796e-08
0.2,0.75,2.5,4.0,1.2502198326751374e-10,3.4412757706023796e-08
0.2,1.0,0.75,1.0,9.376656898403511e-11,2.5809568279517847e-08
0.2,1.0,0.75,1.5,0.0,0.0
0.2,1.0,0.75,2.5,4.97797676747296e-16,9.21990758551103e-15
0.2,1.0,0.75,4.0,9.376656898403511e-11,2.5809568279517847e-08
0.2,1.0,1.0,1.5,9.376656898403511e-11,2.5809568279517847e-08
0.2,1.0,1.0,2.5,9.376654359349164e-11,2.5809568279517847e-08
0.2,1.0,1.0,4.0,0.0,0.0
0.2,1.0,1.5,2.5,4.97797676747296e-16,9.21990758551103e-15
0.2,1.0,1.5,4.0,9.376656898403511e-11,2.5809568279517847e-08
0.2,1.0,2.5,4.0,9.376654359349164e-11,2.5809568279517847e-08
0.2,1.5,0.75,1.0,6.251114253000186e-11,1.72063788530119e-08
0.2,1.5,0.75,1.5,0.0,0.0
0.2,1.5,0.75,2.5,4.1610168118830333e-16,6.169250341978127e-15
0.2,1.5,0.75,4.0,6.251114253000186e-11,1.72063788530119e-08
0.2,1.5,1.0,1.5,6.251114253000186e-11,1.72063788530119e-08
0.2,1.5,1.0,2.5,6.251113212398501e-11,1.72063788530119e-08
0.2,1.5,1.0,4.0,0.0,0.0
0.2,1.5,1.5,2.5,4.1610168118830333e-16,6.169250341978127e-15
0.2,1.5,1.5,4.0,6.251114253000186e-11,1.72063788530119e-08
0.2,1.5,2.5,4.0,6.251113212398501e-11,1.72063788530119e-08
0.2,2.0,0.75,1.0,4.6883432857138666e-11,1.2904784139758925e-08
0.2,2.0,0.75,1.5,0.0,0.0
0.2,2.0,0.75,2.5,3.7584504205819676e-16,4.658825248306791e-15
0.2,2.0,0.75,4.0,4.6883432857138666e-11,1.2904784139758925e-08
0.2,2.0,1.0,1.5,4.6883432857138666e-11,1.2904784139758925e-08
0.2,2.0,1.0,2.5,4.6883422935549275e-11,1.2904784139758925e-08
0.2,2.0,1.0,4.0,0.0,0.0
0.2,2.0,1.5,2.5,3.7584504205819676e-16,4.658825248306791e-15
0.2,2.0,1.5,4.0,4.6883432857138666e-11,1.2904784139758925e-08
0.2,2.0,2.5,4.0,4.6883422935549275e-11,1.2904784139758925e-08
0.25,0.5,0.75,1.0,6.805136990891425e-16,9.28696748898837e-15
0.25,0.5,0.75,1.5,0.0,0.0
0.25,0.5,0.75,2.5,6.430864386757345e-16,6.558778181783045e-15
0.25,0.5,0.75,4.0,6.805136990891425e-16,9.28696748898837e-15
0.25,0.5,1.0,1.5,6.805136990891425e-16,9.28696748898837e-15
0.25,0.5,1.0,2.5,6.699602189471632e-16,1.3927243389092332e-14
0.25,0.5,1.0,4.0,0.0,0.0
0.25,0.5,1.5,2.5,6.430864386757345e-16,6.558778181783045e-15
0.25,0.5,1.5,4.0,6.805136990891425e-16,9.28696748898837e-15
0.25,0.5,2.5,4.0,6.699602189471632e-16,1.3927243389092332e-14
0.25,0.75,0.75,1.0,5.265699040305274e-16,6.214336398431863e-15
0.25,0.75,0.75,1.5,0.0,0.0
0.25,0.75,0.75,2.5,4.965639989585896e-16,4.384173062047055e-15
