dataset,e,a,pc1,pc2,isomap1
unique,0.02,1.0,-2.709608474665604,-0.26570963885429943,-2.7552577172480808
unique,0.025,1.0,-2.708343683946161,-0.2653893741618605,-2.7539500783919433
unique,0.03,1.0,-2.7067975121489347,-0.26499795290316275,-2.7523515531701697
unique,0.035,1.0,-2.7049697691877377,-0.2645353831320838,-2.7504619614166685
unique,0.04,1.0,-2.7028602302096445,-0.2640016743915057,-2.7482810900424774
unique,0.045,1.0,-2.7004686354762804,-0.2633968377279965,-2.745808692996025
unique,0.05,1.0,-2.6977946903627625,-0.2627208857567478,-2.743044491077276
unique,0.055,1.0,-2.6948380654040314,-0.26197383272882835,-2.7399881720301
unique,0.06,1.0,-2.691598395608093,-0.26115569435396946,-2.7366393897605072
unique,0.065,1.0,-2.688075280877989,-0.2602664880503074,-2.7329977651997246
unique,0.07,1.0,-2.684268285155831,-0.2593062326234996,-2.729062884991892
unique,0.075,1.0,-2.680176936714215,-0.25827494890223335,-2.7248343021355015
unique,0.08,1.0,-2.6758007276782685,-0.25717265995650607,-2.7203115355042016
unique,0.085,1.0,-2.6711391134475626,-0.25599939036935737,-2.7154940683150843
unique,0.09,1.0,-2.66619151395566,-0.2547551658348661,-2.710381350844851
unique,0.095,1.0,-2.660957312457331,-0.25344001553582984,-2.7049727986939915
unique,0.1,1.0,-2.6554358558567444,-0.25205397028912646,-2.6992677932436804
unique,0.105,1.0,-2.649626451855891,-0.25059706065440057,-2.6932656774844714
unique,0.11,1.0,-2.6435283695407463,-0.2490693267908144,-2.686965759652512
unique,0.115,1.0,-2.6371408441592123,-0.2474708083017605,-2.680367315300964
unique,0.12,1.0,-2.6304630680908545,-0.2458015389201016,-2.6734695782873628
unique,0.125,1.0,-2.623494201283563,-0.244061561271125,-2.666271751796211
unique,0.13,1.0,-2.616233358150886,-0.24225092253564107,-2.6587729967903986
unique,0.135,1.0,-2.608679619929063,-0.24036967300440804,-2.650972442744833
unique,0.14,1.0,-2.600832025949586,-0.23841785871768106,-2.6428691791639474
unique,0.145,1.0,-2.5926895709031044,-0.23639553300841598,-2.6344622520457737
unique,0.15,1.0,-2.5842512076592286,-0.23430274573060306,-2.625750667356872
unique,0.155,1.0,-2.575515852554666,-0.23213955181104318,-2.616733396923801
unique,0.16,1.0,-2.566482386108305,-0.22990602340634325,-2.607409382084332
unique,0.165,1.0,-2.5571496457779084,-0.22760221729264263,-2.5977775178376175
