component,explained_variance_ratio,cumulative_explained_variance_ratio
1,0.9890752216796184,0.9890752216796184
2,0.010682839860265563,0.9997580615398839
3,0.00023542293576140713,0.9999934844756453
4,6.323672868311415e-06,0.9999998081485136
5,1.8565174796417303e-07,0.9999999938002616
6,5.7505784008395975e-09,0.99999999955084
7,2.4695532234748944e-10,0.9999999997977953
8,9.706135090415424e-11,0.9999999998948567
9,5.3105369305219823e-11,0.9999999999479621
10,2.0112118196628112e-11,0.9999999999680742
