observable,e,value,derivative,abs_sensitivity,relative_condition_number,delta_e_for_1pct_relative_noise
width_residue,1e-06,0.9999999999995,-1.0000000000005e-06,1.0000000000005e-06,1.0000000000009998e-12,9999.999999990001
width_residue,1.068e-06,0.9999999999994297,-1.068000000000609e-06,1.068000000000609e-06,1.1406240000013009e-12,9363.295880139134
width_residue,1.140625e-06,0.9999999999993494,-1.140625000000742e-06,1.140625000000742e-06,1.3010253906266926e-12,8767.123287659826
width_residue,1.218188e-06,0.9999999999992579,-1.218188000000904e-06,1.218188000000904e-06,1.4839820033462023e-12,8208.913566695092
width_residue,1.301025e-06,0.9999999999991537,-1.3010250000011011e-06,1.3010250000011011e-06,1.692666050627865e-12,7686.247381858976
width_residue,1.389495e-06,0.9999999999990347,-1.3894950000013413e-06,1.3894950000013413e-06,1.9306963550287276e-12,7196.859290591685
width_residue,1.483982e-06,0.9999999999988989,-1.4839820000016342e-06,1.4839820000016342e-06,2.2022025763288502e-12,6738.62620973703
width_residue,1.584893e-06,0.999999999998744,-1.5848930000019906e-06,1.5848930000019906e-06,2.51188582145531e-12,6309.57421098767
width_residue,1.692667e-06,0.9999999999985674,-1.6926670000024251e-06,1.6926670000024251e-06,2.86512157289721e-12,5907.836567955391
width_residue,1.807769e-06,0.999999999998366,-1.807769000002954e-06,1.807769000002954e-06,3.2680287573716808e-12,5531.680209123687
width_residue,1.930698e-06,0.9999999999981362,-1.9306980000035986e-06,1.9306980000035986e-06,3.727594767217895e-12,5179.473951888241
width_residue,2.061986e-06,0.999999999997874,-2.0619860000043838e-06,2.0619860000043838e-06,4.251786264214079e-12,4849.69345085635
width_residue,2.202202e-06,0.9999999999975752,-2.20220200000534e-06,2.20220200000534e-06,4.84969364882752e-12,4540.909507825124
width_residue,2.351953e-06,0.9999999999972341,-2.351953000006505e-06,2.351953000006505e-06,5.531682914239599e-12,4251.785643652182
width_residue,2.511886e-06,0.9999999999968452,-2.5118860000079245e-06,2.5118860000079245e-06,6.309571277035811e-12,3981.0723894065673
width_residue,2.682696e-06,0.9999999999964015,-2.6826960000096537e-06,2.6826960000096537e-06,7.196857828467796e-12,3727.593435830236
width_residue,2.86512e-06,0.9999999999958955,-2.86512000001176e-06,2.86512000001176e-06,8.208912614467386e-12,3490.255207432118
width_residue,3.05995e-06,0.9999999999953183,-3.0599500000143257e-06,3.0599500000143257e-06,9.363294002587672e-12,3268.0272553167097
width_residue,3.268028e-06,0.9999999999946599,-3.2680280000174512e-06,3.2680280000174512e-06,1.0680007008898062e-11,3059.9493027272715
width_residue,3.490255e-06,0.999999999993909,-3.4902550000212594e-06,3.4902550000212594e-06,1.2181879965173402e-11,2865.1201702678395
width_residue,3.727594e-06,0.9999999999930524,-3.7275940000258975e-06,3.7275940000258975e-06,1.3894957029029072e-11,2682.695593957134
width_residue,3.981072e-06,0.9999999999920755,-3.9810720000315485e-06,3.9810720000315485e-06,1.5848934269435193e-11,2511.8862456749107
width_residue,4.251786e-06,0.9999999999909611,-4.251786000038431e-06,4.251786000038431e-06,1.8077684190122802e-11,2351.952802850196
width_residue,4.54091e-06,0.99999999998969,-4.540910000046816e-06,4.540910000046816e-06,2.0619863628525176e-11,2202.2017612755594
width_residue,4.849693e-06,0.9999999999882402,-4.849693000057032e-06,4.849693000057032e-06,2.3519522194802174e-11,2061.9861916547716
width_residue,5.179475e-06,0.9999999999865865,-5.1794750000694746e-06,5.1794750000694746e-06,2.6826961276344683e-11,1930.6976092618904
width_residue,5.531681e-06,0.9999999999847002,-5.531681000084633e-06,5.531681000084633e-06,3.059949468669732e-11,1807.7687414899751
width_residue,5.907838e-06,0.9999999999825487,-5.907838000103099e-06,5.907838000103099e-06,3.490254983546219e-11,1692.666589647681
