condition,method,mean_abs_error
dense_low_noise,perimeter_only,0.0036439930173974102
dense_low_noise,width_only,0.0035106854014539165
dense_low_noise,major_tip_only,0.15653523885460424
dense_low_noise,router,0.0033849508605235208
dense_low_noise,phase_oracle,0.0034066309369633774
dense_low_noise,trial_oracle,0.0020612315146061625
dense_medium_noise,perimeter_only,0.013873426497795103
dense_medium_noise,width_only,0.012846510440525568
dense_medium_noise,major_tip_only,0.41921031506895734
dense_medium_noise,router,0.012331288717094924
dense_medium_noise,phase_oracle,0.01232967009852719
dense_medium_noise,trial_oracle,0.007873854338596805
sparse_medium_noise,perimeter_only,0.01564353324760596
sparse_medium_noise,width_only,0.01603332516570144
sparse_medium_noise,major_tip_only,0.41310365857334
sparse_medium_noise,router,0.015855387486857036
sparse_medium_noise,phase_oracle,0.015855387486857036
sparse_medium_noise,trial_oracle,0.00941194736076024
sparse_high_noise,perimeter_only,0.030467856090752192
sparse_high_noise,width_only,0.026529726806967125
sparse_high_noise,major_tip_only,0.444534701454911
sparse_high_noise,router,0.02628709452074617
sparse_high_noise,phase_oracle,0.026529726806967125
sparse_high_noise,trial_oracle,0.01711468918708472
