family,rho,t,h,S1,S2,mean_boundary_collapse_error,max_boundary_collapse_error,mean_simplex_loop_error,max_simplex_loop_error
balanced,0.1,0.0,1.0,0.75,1.0,5.1331178569668055e-14,7.944854866066562e-14,1.6251320018258702e-14,2.5374183053181072e-14
balanced,0.1,0.0,1.0,0.75,1.5,8.638530319412167e-14,1.3355982986240633e-13,2.735031120172876e-14,4.265229206066923e-14
balanced,0.1,0.0,1.0,0.75,2.5,1.1034285499224484e-13,1.7061175390269848e-13,3.493484532761742e-14,5.448291530582248e-14
balanced,0.1,0.0,1.0,0.75,4.0,1.3787238108588978e-13,2.1308425941772713e-13,4.364237995929044e-14,6.806896334805861e-14
balanced,0.1,0.0,1.0,1.0,1.5,3.5054129027027335e-14,5.42343947529389e-14,1.1101335520004462e-14,1.7312182912665467e-14
balanced,0.1,0.0,1.0,1.0,2.5,5.90116794248183e-14,9.121870794114426e-14,1.8684714465660272e-14,2.914361873402694e-14
balanced,0.1,0.0,1.0,1.0,4.0,8.654120478371724e-14,1.337522787276632e-13,2.739289241845449e-14,4.2719428665925815e-14
balanced,0.1,0.0,1.0,1.5,2.5,2.3957559277404727e-14,3.7087093950751264e-14,7.58603040229291e-15,1.1847307409661942e-14
balanced,0.1,0.0,1.0,1.5,4.0,5.148708154300361e-14,7.959588713425606e-14,1.629339953358149e-14,2.5416894639308306e-14
balanced,0.1,0.0,1.0,2.5,4.0,2.7529531254149892e-14,4.260299982103364e-14,8.710269468441785e-15,1.3612008911314163e-14
offset,0.14,0.25,1.15,0.75,1.0,4.249118562625983e-14,6.508186984923139e-14,2.0597250357942226e-14,3.583931648274407e-14
offset,0.14,0.25,1.15,0.75,1.5,4.248699209701169e-14,6.506894523873478e-14,2.059698114279009e-14,3.582801899354289e-14
offset,0.14,0.25,1.15,0.75,2.5,8.518250522618744e-14,1.304155250144194e-13,4.129457625324465e-14,7.180244565199844e-14
offset,0.14,0.25,1.15,0.75,4.0,8.517018152697851e-14,1.3036005258272989e-13,4.128933273855858e-14,7.18598070596786e-14
offset,0.14,0.25,1.15,1.0,1.5,5.5049792782719277e-17,1.8041124150158794e-16,1.0376590935262016e-16,2.9893669801409083e-16
offset,0.14,0.25,1.15,1.0,2.5,4.269132630627788e-14,6.537962963038654e-14,2.0698274523679898e-14,3.597402072155625e-14
offset,0.14,0.25,1.15,1.0,4.0,4.267900105291207e-14,6.534659493752739e-14,2.0692885688211047e-14,3.6021144971599546e-14
offset,0.14,0.25,1.15,1.5,2.5,4.269551990281013e-14,6.539213615696662e-14,2.0698707248989848e-14,3.597453467009533e-14
offset,0.14,0.25,1.15,1.5,4.0,4.268319596541166e-14,6.538472597262701e-14,2.0693649408298644e-14,3.603191154583101e-14
offset,0.14,0.25,1.15,2.5,4.0,6.30922376212943e-17,2.2887833992611187e-16,1.0722879890475303e-16,3.554447978966673e-16
skewed,0.16,-0.55,0.85,0.75,1.0,5.743576416184138e-14,8.66379125296473e-14,2.886893815272959e-14,5.737735411644763e-14
skewed,0.16,-0.55,0.85,0.75,1.5,9.675632207810041e-14,1.4584484865001914e-13,4.861901674613984e-14,9.66559935695624e-14
skewed,0.16,-0.55,0.85,0.75,2.5,1.4213299256165865e-13,2.1421125397020766e-13,7.142731949833195e-14,1.419447517806185e-13
skewed,0.16,-0.55,0.85,0.75,4.0,1.5476193848870335e-13,2.3332837228305747e-13,7.77709404161693e-14,1.5454288800535842e-13
