split,condition,alpha_strength_bin,geometry_skew_bin,count,mean_ambiguity_ratio,mean_alpha_bank_log_span,mean_geometry_bank_span_norm,alpha_instability_rate
calibration,sparse_full_noisy,moderate,low_skew,6,0.5129433686749533,0.25791695019969857,0.38659684912214237,0.8333333333333334
calibration,sparse_full_noisy,moderate,mid_skew,6,0.772294557168045,0.391156246633531,0.43952061956988514,1.0
calibration,sparse_full_noisy,moderate,high_skew,6,0.6043884875203912,0.34529836742457015,0.5199648144773398,1.0
calibration,sparse_partial_high_noise,moderate,low_skew,6,0.5547261584661879,0.223553654193576,0.5288435162698794,0.5
calibration,sparse_partial_high_noise,moderate,mid_skew,6,0.724149478448375,0.2407552186283143,0.46770014725498615,0.5
calibration,sparse_partial_high_noise,moderate,high_skew,6,0.8274621530403325,0.39933783321954114,0.4420478758537168,0.8333333333333334
holdout,sparse_full_noisy,moderate,low_skew,3,0.5955432682567783,0.34145439339725286,0.4967569500034949,1.0
holdout,sparse_full_noisy,moderate,mid_skew,3,0.7348221887490656,0.2881204038596234,0.53841491697273,0.6666666666666666
holdout,sparse_full_noisy,moderate,high_skew,3,0.5312159481392438,0.2355417894053343,0.5043091475692425,0.6666666666666666
holdout,sparse_partial_high_noise,moderate,low_skew,3,0.5971761848511977,0.17108134312258028,0.6029884379512196,0.3333333333333333
holdout,sparse_partial_high_noise,moderate,mid_skew,3,0.4870064902064424,0.20265871929754167,0.47143571996543515,0.6666666666666666
holdout,sparse_partial_high_noise,moderate,high_skew,3,0.6244911180495069,0.3166381759416929,0.6315551607676443,0.6666666666666666
confirmation,sparse_full_noisy,moderate,low_skew,3,0.6874498110448135,0.3095842976167647,0.5601738163440123,0.6666666666666666
confirmation,sparse_full_noisy,moderate,mid_skew,3,0.5017926849512678,0.2665313449474656,0.5577884094942869,1.0
confirmation,sparse_full_noisy,moderate,high_skew,3,0.5678440267356638,0.291778441192684,0.47133573622817027,0.6666666666666666
confirmation,sparse_partial_high_noise,moderate,low_skew,3,0.6049712407537773,0.27578522770214925,0.5008253306615251,0.6666666666666666
confirmation,sparse_partial_high_noise,moderate,mid_skew,3,0.6259904789265045,0.31624242855731394,0.5333762316211893,1.0
confirmation,sparse_partial_high_noise,moderate,high_skew,3,0.7638360877211666,0.4515581482796966,0.49333669348781856,1.0
