split,observation_seed,condition,geometry_skew_bin,bank_seed,cluster_id,cluster_size,cluster_mass_layer1,cluster_mass_layer2,cluster_best_score,cluster_mean_score_gap,cluster_center_rho12,cluster_center_rho13,cluster_center_rho23,cluster_center_alpha,cluster_geometry_span,cluster_alpha_span,cluster_rank_by_mass,archetype
calibration,20260410,sparse_full_noisy,low_skew,20260324,0,4,0.2393286152683356,0.3386592719759062,0.0014557340184666,0.000256262931781,0.3113969480371119,0.1473267997827076,0.2743696588863163,1.1245703712782371,0.1483478507975827,0.071818704425401,2,compact_minor
calibration,20260410,sparse_full_noisy,low_skew,20260324,1,5,0.2642022629995377,0.4045650487440891,0.0014630237078033,0.0002532247785391,0.3322413228620232,0.1975216607586723,0.2124150214763265,1.0714221314367491,0.11361318783525,0.2843264150317357,1,alpha_fan
calibration,20260410,sparse_full_noisy,low_skew,20260324,2,4,0.1963712621752932,0.0932647945063027,0.0014963809411843,0.000286694786603,0.2482509779522786,0.1376188207244728,0.2185357644886291,1.013629606715445,0.0938772599572577,0.2954658198563642,3,alpha_fan
calibration,20260410,sparse_full_noisy,low_skew,20260324,3,3,0.1846794164274021,0.0241029633154093,0.0016540621669902,0.000244902921574,0.4311066378154768,0.2985295181653534,0.4136599270776446,0.9849473348563672,0.073661903620933,0.2744115215372474,4,alpha_fan
calibration,20260410,sparse_full_noisy,low_skew,20260324,4,2,0.0594351444887658,0.0621069162238154,0.0017109209162751,0.000407110580692,0.3762721005333696,0.1890997126267226,0.3199806656247527,0.8770534417906972,0.0673969265884708,0.0938123053551178,5,compact_minor
calibration,20260410,sparse_full_noisy,low_skew,20260324,5,1,0.0559832986406653,0.077301005234477,0.0017348538369848,0.0002791198185181,0.3423687271334067,0.252132228728632,0.2986995361425021,0.8494792038805586,0.0,0.0,6,compact_minor
calibration,20260410,sparse_full_noisy,low_skew,20260324,6,3,0.0,0.0,0.0018569600550531,0.0004653117135532,0.2830675003075291,0.2033643357141844,0.2794567869817701,0.9415511294832472,0.1083582583467216,0.2694396906699962,7,alpha_fan
calibration,20260410,sparse_full_noisy,low_skew,20260324,7,5,0.0,0.0,0.0018628489307415,0.0004754815958333,0.1804612828969811,0.1017272880078402,0.1606869956759744,1.0227491496093095,0.1042100129969046,0.3427095245287777,8,alpha_fan
calibration,20260410,sparse_full_noisy,low_skew,20260324,8,1,0.0,0.0,0.0019370799441515,0.0004813459256848,0.2637108426603425,0.1577710199125773,0.1692173330661694,1.171462901307571,0.0,0.0,9,fringe_singleton
calibration,20260410,sparse_full_noisy,low_skew,20260324,9,2,0.0,0.0,0.0019959937014842,0.0005474947105118,0.431974138573285,0.2760969931425183,0.3181751862651555,1.028561034857145,0.0181507015381781,0.2777950844719396,10,alpha_fan
