method,split,observation_seed,condition,geometry_skew_bin,bank_seed,true_alpha,true_t,true_rotation_shift,mean_band_candidate_count,mean_frontier_candidate_count,mean_cluster_count,mean_cluster_entropy,mean_geometry_span_norm_set,mean_alpha_log_span_set,mean_ambiguity_ratio,mean_poison_pull,mean_supportive_pull,consensus_geometry_rho12,consensus_geometry_rho13,consensus_geometry_rho23,anchored_alpha_log_std,anchored_alpha_effective_count
one_shot_random,holdout,20260422,sparse_partial_high_noise,low_skew,20260324,0.881734382249758,0.17784105610841,54,53.0,16.0,13.0,0.766323898666092,0.9354441707471594,0.2655706108695811,0.2838978735176298,0.0,0.26368636168727083,0.257362582715233,0.14489722266619914,0.21410113843508757,0.06778767914066408,28.934278276826984
persistent_mode_informed,holdout,20260422,sparse_partial_high_noise,low_skew,20260324,0.881734382249758,0.17784105610841,54,227.0,16.0,9.0,0.7797223120978536,0.7696520238246537,0.24591368767294552,0.3195128188592549,0.0,0.34938391933731366,0.2471518323380708,0.16726026616751424,0.19712186069934814,0.04857520789811209,137.8537581990408
one_shot_random,holdout,20260422,sparse_partial_high_noise,low_skew,20260325,0.881734382249758,0.17784105610841,54,62.0,16.0,16.0,0.7901970111812308,0.8991679226572561,0.26172997071436466,0.2910801910514001,0.0,0.40136207161721327,0.2589972336957427,0.15535740047764676,0.21838023546635854,0.06768463442319685,34.381500301819216
persistent_mode_informed,holdout,20260422,sparse_partial_high_noise,low_skew,20260325,0.881734382249758,0.17784105610841,54,228.0,16.0,11.0,0.7350324862186336,0.8188171175170482,0.2550964087259634,0.31154259390608324,0.0,0.12420038343438654,0.25508641694156414,0.16010704533192502,0.20375398607800901,0.054055899982428934,115.93122390937994
one_shot_random,holdout,20260422,sparse_partial_high_noise,low_skew,20260326,0.881734382249758,0.17784105610841,54,46.0,16.0,17.0,0.7634551186107685,0.8622938849466499,0.24933176452260164,0.2891494058757332,0.0,0.5110630243711622,0.2595687917528876,0.15302037390178191,0.21738973723237515,0.07023698995201692,27.232280233328837
persistent_mode_informed,holdout,20260422,sparse_partial_high_noise,low_skew,20260326,0.881734382249758,0.17784105610841,54,246.0,16.0,13.0,0.7653953934346683,0.8406211180112587,0.20665355771163396,0.24583436376251755,0.0,0.42028388740711164,0.24429944379056234,0.1558153720354924,0.20280286396993694,0.0427876983611649,135.6020577993019
one_shot_random,holdout,20260422,sparse_partial_high_noise,mid_skew,20260324,1.193340098604452,-0.28236615286284156,37,69.0,16.0,17.0,0.8272657860258833,0.8864652888514515,0.3205299127815365,0.3615820233602502,0.0,0.4989756694898854,0.2767668151729782,0.16422534323506996,0.2325315795220234,0.08459873313502664,42.589558416499486
persistent_mode_informed,holdout,20260422,sparse_partial_high_noise,mid_skew,20260324,1.193340098604452,-0.28236615286284156,37,251.0,16.0,16.0,0.681212110448742,0.9029098403794569,0.32453040185618276,0.3594272510307293,0.0,0.3243639028365846,0.24427636692561816,0.1451503550472474,0.19677646294682136,0.06705745618930183,135.2399594539922
one_shot_random,holdout,20260422,sparse_partial_high_noise,mid_skew,20260325,1.193340098604452,-0.28236615286284156,37,60.0,16.0,19.0,0.8510262539551329,0.8961426252586103,0.3227782540444703,0.3601862526641029,0.0,0.37839389726519174,0.25778266443908127,0.14931577825186731,0.2142871731564771,0.08146208916693856,31.696443542620226
persistent_mode_informed,holdout,20260422,sparse_partial_high_noise,mid_skew,20260325,1.193340098604452,-0.28236615286284156,37,234.0,16.0,14.0,0.7409090919826659,0.761505019786986,0.3075321007796198,0.40384776565969976,0.0,0.1462266612250588,0.24930375104097488,0.14596240625249207,0.20261259905038842,0.059914762813406186,153.15854049279065
