method,split,observation_seed,condition,geometry_skew_bin,bank_seed,cluster_id,cluster_size,cluster_mass_layer1,cluster_mass_layer2,cluster_best_score,cluster_mean_score_gap,cluster_center_rho12,cluster_center_rho13,cluster_center_rho23,cluster_center_alpha,cluster_geometry_span,cluster_alpha_span,cluster_rank_by_mass,dominant_candidate_source
one_shot_random,holdout,20260422,sparse_partial_high_noise,low_skew,20260324,0,16,0.2375924628715215,0.3815884304147314,0.0018633000058910156,0.000635661651274221,0.21580595537847239,0.12034196359735636,0.17768174836218217,1.001568396704525,0.2166310882664443,0.29758929148401303,2,random
one_shot_random,holdout,20260422,sparse_partial_high_noise,low_skew,20260324,1,14,0.23764338660329265,0.0624528202121163,0.0019372005232420166,0.0005323803216092979,0.14263585450824728,0.08260177533727428,0.12358635778219769,1.0051421785490111,0.13163418684554118,0.29352455777999953,1,random
one_shot_random,holdout,20260422,sparse_partial_high_noise,low_skew,20260324,2,6,0.0401056316498302,0.011846735970280907,0.0019891160228986365,0.0007882553765055084,0.3386179471214517,0.25512018555841154,0.2721987920476087,1.0431495054625881,0.13231578608351688,0.1906101767470713,5,random
one_shot_random,holdout,20260422,sparse_partial_high_noise,low_skew,20260324,3,12,0.2219790152690215,0.43227001514735386,0.002051966739223485,0.000478420527361933,0.28735072683696045,0.15015475309162116,0.23123648492462734,0.9949059615202743,0.21484951534346455,0.20332990904196213,3,random
one_shot_random,holdout,20260422,sparse_partial_high_noise,low_skew,20260324,4,6,0.10774312108538611,0.07441567880298898,0.0020827764321539404,0.000539902389402616,0.3435936648534868,0.1745060670308561,0.27461860572751423,0.9954496013892378,0.1524788626024399,0.1005711619945793,4,random
one_shot_random,holdout,20260422,sparse_partial_high_noise,low_skew,20260324,5,2,0.03641178389909078,0.007877562687614756,0.0021889182156399675,0.0005178227460502114,0.4084868751312347,0.21445544061446958,0.2941152731073625,0.9219044709412558,0.06186919946477385,0.09576185497565898,6,random
one_shot_random,holdout,20260422,sparse_partial_high_noise,low_skew,20260324,6,2,0.021879072082460264,0.002500078087969431,0.002195346467517752,0.0007204620776231109,0.4057029966636806,0.20304633591678345,0.37853065127000285,0.998354207630589,0.07925632743476428,0.17400754532834573,9,random
one_shot_random,holdout,20260422,sparse_partial_high_noise,low_skew,20260324,7,1,0.01663089989885584,0.010401764647816081,0.002442187813803602,0.0005788878079125864,0.33421317861817534,0.11018261142862755,0.291918827770927,0.9293142326802634,0.0,0.0,10,random
one_shot_random,holdout,20260422,sparse_partial_high_noise,low_skew,20260324,8,2,0.02835563962718202,0.007903395950141981,0.0024981008145921815,0.0007272533580086596,0.32972023728066424,0.22578789224033452,0.3375816805257449,0.9562027264497615,0.0411447204146984,0.1845365255545962,7,random
one_shot_random,holdout,20260422,sparse_partial_high_noise,low_skew,20260324,9,4,0.02679249593793915,0.00036827807394472273,0.0025595711300534585,0.0008779329908874659,0.4366009053643245,0.32564725590942545,0.4215539938402524,1.0018476996115528,0.1132991235918165,0.19380098684221442,8,random
one_shot_random,holdout,20260422,sparse_partial_high_noise,low_skew,20260324,10,2,0.012965406914097892,0.00046653540814358687,0.0026662676543782295,0.0010039946690130806,0.4281549302356906,0.2503532590875125,0.379447827404591,0.9607702606238365,0.07403411873558184,0.2909212545186813,11,random
one_shot_random,holdout,20260422,sparse_partial_high_noise,low_skew,20260324,11,1,0.011901084161322075,0.007908704596897949,0.0027433574262872885,0.000880057420396273,0.15822809073216298,0.12434181828126328,0.15266124484558324,1.1303178835669165,0.0,0.0,12,random
one_shot_random,holdout,20260422,sparse_partial_high_noise,low_skew,20260324,12,1,0.0,0.0,0.0029288316159164973,0.0010655316100254817,0.2546439180100791,0.20024593454342196,0.23041636219433256,1.1519220876033167,0.0,0.0,13,random
persistent_mode_informed,holdout,20260422,sparse_partial_high_noise,low_skew,20260324,0,69,0.3369535648007344,0.4162341025053147,0.0018382329632441554,0.0002624610235472186,0.20494205454098394,0.1482257945172596,0.1702312162113369,1.023588144925638,0.23382759629381736,0.2395247345118286,1,local_expansion
