method,split,observation_seed,condition,geometry_skew_bin,true_alpha,true_t,true_rotation_shift,mean_band_candidate_count,mean_frontier_candidate_count,mean_cluster_count,mean_cluster_entropy,mean_geometry_span_norm_set,consensus_geometry_bank_span_norm,compression_load,mean_alpha_log_span_set,mean_ambiguity_ratio,mean_poison_pull,mean_supportive_pull,mean_anchored_alpha_log_std,mode_persistence_rate
one_shot_random,holdout,20260422,sparse_partial_high_noise,low_skew,0.881734382249758,0.17784105610841,54,53.666666666666664,16.0,15.333333333333334,0.7733253428193638,0.8989686594503551,0.017120505268647893,52.50830190722239,0.2588774487021825,0.28804249014825434,0.0,0.3920371525585488,0.06856976783862595,0.9208819873819083
persistent_mode_informed,holdout,20260422,sparse_partial_high_noise,low_skew,0.881734382249758,0.17784105610841,54,233.66666666666666,16.0,11.0,0.7600500639170518,0.8096967531176534,0.029152176978007326,27.774829774410886,0.2358878847035143,0.2922965921759519,0.0,0.2979560633929373,0.048472935413901984,0.7342973296148152
one_shot_random,holdout,20260422,sparse_partial_high_noise,mid_skew,1.193340098604452,-0.28236615286284156,37,68.0,16.0,18.666666666666668,0.8382182523601629,0.9171914912356068,0.051473891005454776,17.818577016810533,0.31604314827183894,0.34545072489492007,0.0,0.4509063700894896,0.07827219299132888,0.7773653910012075
persistent_mode_informed,holdout,20260422,sparse_partial_high_noise,mid_skew,1.193340098604452,-0.28236615286284156,37,244.33333333333334,16.0,14.333333333333334,0.7014170215746603,0.854376408934508,0.02393834718823805,35.69070171036287,0.3096388518784441,0.36452823154183855,0.0,0.21208276821835334,0.06088942139483935,0.8198732916984511
one_shot_random,holdout,20260422,sparse_partial_high_noise,high_skew,0.8058417417559449,-0.5118742378742865,56,105.66666666666667,16.0,19.0,0.8612256299916649,0.8928435888889491,0.06927490925201372,12.888412248089598,0.5359993625804821,0.6012130401958758,0.0,0.6773560097398269,0.1437668006039581,0.9197646629340853
persistent_mode_informed,holdout,20260422,sparse_partial_high_noise,high_skew,0.8058417417559449,-0.5118742378742865,56,222.66666666666666,16.0,16.0,0.7806305379344775,0.8567271341308077,0.06507779376226218,13.164661624217713,0.49101521573569135,0.5750729200948143,0.0,0.2636260317625519,0.1212705586528302,0.6335796249413007
one_shot_random,holdout,20260423,sparse_partial_high_noise,low_skew,1.284002752037176,0.09283757178881881,29,93.0,16.0,19.333333333333332,0.8424334168018777,0.911429719173959,0.03547670196229583,25.690937115366992,0.6512784479227797,0.7146077645286383,0.0,0.5275266253436746,0.20787834328410404,0.8874828325442811
persistent_mode_informed,holdout,20260423,sparse_partial_high_noise,low_skew,1.284002752037176,0.09283757178881881,29,188.66666666666666,16.0,17.0,0.7798853984649806,0.8728101914384143,0.04722899347085326,18.480389423862217,0.6323657300596286,0.724745045323648,0.0,0.2838794343688656,0.18936592435211272,0.8813928313795945
one_shot_random,holdout,20260423,sparse_partial_high_noise,mid_skew,1.2481451346845953,-0.2693313050528414,37,108.66666666666667,16.0,21.333333333333332,0.8343334718849142,0.9208637219406318,0.02605625474739655,35.341369312972404,0.46451943018062564,0.5050596569547767,0.0,0.2756448541343206,0.12146290572132157,0.9751247197182903
persistent_mode_informed,holdout,20260423,sparse_partial_high_noise,mid_skew,1.2481451346845953,-0.2693313050528414,37,258.3333333333333,16.0,18.333333333333332,0.7562954711303602,0.8904439274485542,0.04769671687640014,18.668872529654905,0.4264818409839753,0.47922331089553466,0.0,0.4510628320451393,0.09589301959678438,0.8609517252193171
one_shot_random,holdout,20260423,sparse_partial_high_noise,high_skew,1.1892117130269413,-0.6618817448914281,0,59.0,16.0,16.666666666666668,0.8066681713666535,0.8675239751519781,0.039703840018018556,21.84987584974841,0.29481120339861,0.3398477707281207,0.0,0.3874782707555961,0.07080364955904644,0.8687997035417081
