split,observation_seed,condition,geometry_skew_bin,true_alpha,true_t,true_rotation_shift,mean_best_entropy,mean_candidate_count,mean_alpha_log_span_set,mean_geometry_span_norm_set,mean_ambiguity_ratio,mean_anchored_alpha_log_std,mean_anchored_alpha_log_span,mean_anchored_effective_count,best_alpha_bank_log_span,anchored_alpha_bank_log_span,best_alpha_abs_error_mean,anchored_alpha_abs_error_mean,best_alpha_output,best_alpha_output_abs_error,anchored_alpha_output,anchored_alpha_output_abs_error,alpha_point_recoverable_flag,alpha_point_unrecoverable_flag,gate_threshold,gate_open_flag,point_output_flag,abstain_flag,gate_correct_flag,gate_open_and_recoverable_flag,gate_closed_and_unrecoverable_flag,trial_backbone_rho12,trial_backbone_rho13,trial_backbone_rho23,refined_alpha_output,refined_alpha_output_abs_error,refined_alpha_bank_log_span,refined_alpha_abs_error_mean,refined_beats_anchored_flag,refined_beats_best_flag,correction_excursion_ratio,bounded_correction_tau,bounded_correction_weight,bounded_alpha_output,bounded_alpha_output_abs_error,bounded_beats_anchored_flag,bounded_beats_best_flag,bounded_beats_refined_flag
holdout,20260422,sparse_partial_high_noise,low_skew,0.8454209249936677,0.16946780190594682,35,nan,233.66666666666666,0.23588788470351427,0.8096967531176534,0.2922965921759519,0.04847293541390193,0.1272319644655821,129.79567996924257,0.0198309877174541,0.00756049583590173,0.11707051295614883,0.12796880075871805,0.9987692958182565,0.15334837082458874,1.0096983257274057,0.16427740073373798,1,0,0.700453425604268,0,0,1,0,0,0,0.24884589769006574,0.16106089451164388,0.2012262369157647,nan,nan,nan,nan,0,0,nan,0.08301497431678667,nan,nan,nan,0,0,0
holdout,20260422,sparse_partial_high_noise,mid_skew,1.1375779426247343,-0.4219389980466032,15,nan,244.33333333333334,0.30963885187844403,0.854376408934508,0.36452823154183855,0.06088942139483929,0.15868324050170055,148.89804434449948,0.09945324312157891,0.029460542907176458,0.2084493344514512,0.17470292863305836,0.9839055070832952,0.15367243554143917,1.0185497361737312,0.1190282064510031,0,1,0.700453425604268,0,0,1,1,0,1,0.2468252189080946,0.1495334590867272,0.20087106107339792,nan,nan,nan,nan,0,0,nan,0.08301497431678667,nan,nan,nan,0,0,0
holdout,20260422,sparse_partial_high_noise,high_skew,0.8791076466259337,0.6874423450019049,63,nan,222.66666666666666,0.49101521573569135,0.8567271341308077,0.5750729200948143,0.12127055865283014,0.3083149243972141,127.58241332447115,0.2965372172668461,0.050299117364253826,0.1540949266106212,0.23501824466993257,0.9504392139895457,0.07133156736361201,1.0406334722840092,0.1615258256580755,0,1,0.700453425604268,0,0,1,1,0,1,0.2807857407513453,0.1740449893952735,0.22524067289308572,nan,nan,nan,nan,0,0,nan,0.08301497431678667,nan,nan,nan,0,0,0
holdout,20260423,sparse_partial_high_noise,low_skew,1.1624723636075858,-0.1594309746744751,38,nan,188.66666666666666,0.6323657300596286,0.8728101914384143,0.724745045323648,0.18936592435211272,0.47368188327235616,100.82368683812268,0.4528808222598041,0.12659099108621463,0.19303237905970924,0.19304805883608403,1.0682833795009525,0.09418898410663323,1.0894336846273893,0.07303867898019645,0,1,0.700453425604268,1,1,0,0,0,0,0.26962845683733705,0.16429279619993278,0.21789127978405945,0.9754875270086184,0.18698483659896736,0.12424500593546811,0.1853985744232237,0,0,0.2332280692894537,0.08301497431678667,0.0,1.0894336846273893,0.07303867898019645,1,1,1
holdout,20260423,sparse_partial_high_noise,mid_skew,0.7901616811706246,-0.36926069541729967,39,nan,258.3333333333333,0.42648184098397524,0.8904439274485539,0.47922331089553466,0.09589301959678433,0.2563842394335119,145.33333837164164,0.016634574831872112,0.04176599521034478,0.13358194076315985,0.2224747986489759,1.114530037306669,0.32436835613604453,1.0255161369904313,0.23535445581980674,0,1,0.700453425604268,0,0,1,1,0,1,0.27109336090636826,0.17091889514592742,0.21840311171788748,nan,nan,nan,nan,0,0,nan,0.08301497431678667,nan,nan,nan,0,0,0
holdout,20260423,sparse_partial_high_noise,high_skew,0.8688163105521297,-0.5257667371670004,28,nan,228.0,0.29058819915484885,0.8582392280693084,0.3391350917124815,0.06522777839831756,0.17492550137821095,128.02051552796877,0.1028390071269258,0.03728308549472674,0.19764996774966773,0.17613622542946727,0.990415365272627,0.12159905472049726,1.012935038947053,0.14411872839492335,0,1,0.700453425604268,0,0,1,1,0,1,0.2701883798164399,0.1685780353224889,0.216705839518985,nan,nan,nan,nan,0,0,nan,0.08301497431678667,nan,nan,nan,0,0,0
holdout,20260424,sparse_partial_high_noise,low_skew,1.220903502241568,-0.08422455438773073,27,nan,212.0,0.5677123512633327,0.8554748687773791,0.6645592965305361,0.12925322830552324,0.3593600021356936,115.69954485959408,0.012662343187640895,0.038037170792528524,0.048341707675773025,0.3112751395923736,0.8384746082223051,0.38242889401926283,1.1012623336830183,0.11964116855854967,0,1,0.700453425604268,0,0,1,1,0,1,0.26841936126239413,0.16457140879838963,0.21213813386701405,nan,nan,nan,nan,0,0,nan,0.08301497431678667,nan,nan,nan,0,0,0
holdout,20260424,sparse_partial_high_noise,mid_skew,1.2370805507722022,-0.2678446141747568,36,nan,222.66666666666666,0.4214228402923294,0.8985995440659639,0.46930630653868394,0.1022945432167827,0.27395737432650696,120.93550491937519,0.2619646444394703,0.09140683351195558,0.18879045141996728,0.14952187501755057,1.0460021390969532,0.19107841167524908,1.013725919933231,0.22335463083897134,1,0,0.700453425604268,0,0,1,0,0,0,0.2764712010779086,0.17296423472980324,0.21952269451304107,nan,nan,nan,nan,0,0,nan,0.08301497431678667,nan,nan,nan,0,0,0
holdout,20260424,sparse_partial_high_noise,high_skew,1.1240444792751552,0.6531923374747928,11,nan,145.0,0.7521012918640384,0.8946329015392402,0.8420381307005128,0.22437312727250125,0.4338219144977938,79.2347578716276,0.0015336659735845082,0.1326613807194268,0.0444632336787405,0.1478606748714412,1.3266715405087632,0.20262706123360807,1.1322109612902937,0.008166482015138588,1,0,0.700453425604268,1,1,0,1,1,0,0.25269606350106805,0.15406293963516002,0.20510392646156994,1.0112666830885915,0.1127777961865637,0.018979394114375586,0.11274728548497226,0,1,0.2604032517955694,0.08301497431678667,0.0,1.1322109612902937,0.008166482015138588,1,1,1
confirmation,20260425,sparse_partial_high_noise,low_skew,1.1796315323071715,0.16422008158074786,57,nan,251.0,0.3892692561453958,0.8757360677782101,0.4453464241354503,0.0812676208473742,0.21718645634331515,141.3186537926784,0.2042008746880517,0.026972953253525805,0.11078965793959272,0.13391543248035176,1.034268871490364,0.1453626608168075,1.0155718738692852,0.1640596584378864,1,0,0.700453425604268,0,0,1,0,0,0,0.27308228980667076,0.17197339984196688,0.22125758977781487,nan,nan,nan,nan,0,0,nan,0.08301497431678667,nan,nan,nan,0,0,0
confirmation,20260425,sparse_partial_high_noise,mid_skew,1.1188307723106752,0.4398380556486153,28,nan,221.33333333333334,0.47417639474126644,0.8821397515731784,0.5380467751664715,0.10020646789036301,0.26654417192561775,127.18667948759548,0.027487980435883505,0.014938063833216636,0.04393579786069172,0.048305929615292786,1.0649574375944697,0.05387333471620548,1.0606516113601336,0.05817916095054154,1,0,0.700453425604268,0,0,1,0,0,0,0.2677641452533641,0.16833303550316772,0.21985432101596256,nan,nan,nan,nan,0,0,nan,0.08301497431678667,nan,nan,nan,0,0,0
confirmation,20260425,sparse_partial_high_noise,high_skew,0.8339713012585691,-0.45060961323439513,42,nan,170.33333333333334,0.8553708755441112,0.8761972873094047,0.9760802551802321,0.21624373846242154,0.6090319711072637,95.75425419058041,0.05188182816915515,0.0638919165723586,0.07375565895019198,0.05734129611452787,1.356102749276477,0.5221314480179079,1.2248781151371506,0.3909068138785815,1,0,0.700453425604268,1,1,0,1,1,0,0.2774356240299383,0.1778466748607885,0.23091049680313636,1.1909514947731714,0.3569801935146023,0.005364440127815034,0.356983057648816,1,1,0.04612036717092329,0.08301497431678667,0.44443315738523126,1.2096822923786592,0.3757109911200901,1,1,0
