split,observation_seed,condition,geometry_skew_bin,true_alpha,true_t,true_rotation_shift,mean_best_entropy,mean_candidate_count,mean_anchored_alpha_log_std,mean_anchored_alpha_log_span,mean_anchored_effective_count,best_alpha_bank_log_span,anchored_alpha_bank_log_span,best_alpha_abs_error_mean,anchored_alpha_abs_error_mean,best_alpha_output,best_alpha_output_abs_error,anchored_alpha_output,anchored_alpha_output_abs_error,alpha_point_recoverable_flag,alpha_point_unrecoverable_flag,gate_threshold,gate_open_flag,point_output_flag,abstain_flag,gate_correct_flag,gate_open_and_recoverable_flag,gate_closed_and_unrecoverable_flag,trial_backbone_rho12,trial_backbone_rho13,trial_backbone_rho23,refined_alpha_output,refined_alpha_output_abs_error,refined_alpha_bank_log_span,refined_alpha_abs_error_mean,refined_beats_anchored_flag,refined_beats_best_flag
calibration,20260410,sparse_full_noisy,low_skew,1.147529461864347,0.10972497877703384,47,0.4390601229775708,13.0,0.09312577658729795,0.2642634571768364,7.630167324541413,0.03289864364892474,0.04985288483848062,0.05861454560972086,0.09625509963193397,1.088837445509989,0.058692016354358056,1.0511119346329802,0.09641752723136676,1,0,0.18902735609863774,1,1,0,1,1,0,0.31772549974327724,0.19937646144845533,0.2621874894062334,1.0695074144845598,0.07802204737978724,0.08841985538609058,0.07734582118764396,1,0
calibration,20260410,sparse_full_noisy,mid_skew,1.2255287217844368,-0.42211193196284297,21,0.5234832982511297,25.4,0.17094171862964366,0.3933886356227506,14.92930978402006,0.37847326633874157,0.12639809045304629,0.25019646133522555,0.2478660690132178,0.9596233504245435,0.26590537135989334,0.9764265364602228,0.24910218532421402,0,1,0.18902735609863774,1,1,0,0,0,0,0.23599569744228957,0.1415490630462552,0.19361503989872442,0.9381671786693544,0.28736154311508244,0.2497025256269249,0.2842639462046438,0,0
calibration,20260410,sparse_full_noisy,high_skew,0.8719494631553358,0.46748272124058204,4,0.588702559478094,34.2,0.13540236480794068,0.3265920613452805,20.217379160289276,0.30090300974062106,0.05948131624578326,0.11671947031534538,0.11000380794971251,0.9661522620193923,0.09420279886405647,0.9817135602939981,0.10976409713866231,1,0,0.18902735609863774,1,1,0,1,1,0,0.23722907838899573,0.143549646718725,0.19800511853894745,0.9811862717649428,0.10923680860960694,0.24000006970514395,0.11981247968229829,1,0
calibration,20260410,sparse_partial_high_noise,low_skew,1.1217890161161423,0.1451518868676587,53,0.5782922416055778,83.2,0.18143286064369984,0.4530325959445173,44.03877133577166,0.2628464709036928,0.09140456653705537,0.24576763700074125,0.11609223077850839,0.8711990611744431,0.2505899549416992,1.005215158592722,0.11657385752342031,1,0,0.18902735609863774,1,1,0,1,1,0,0.28528611619578814,0.17659701489689522,0.24064196751045164,1.0531489773993674,0.06864003871677493,0.29271716557625466,0.10556969982129027,1,1
calibration,20260410,sparse_partial_high_noise,mid_skew,1.1386629736527398,-0.2053148391190289,6,0.6672410039975123,112.0,0.1643109111335594,0.42239312113414346,59.75067057411851,0.3406810018691099,0.060781029848327804,0.19153328531384217,0.11641670944663629,0.9654073158169659,0.1732556578357739,1.0219793523425293,0.11668362131021048,1,0,0.18902735609863774,1,1,0,1,1,0,0.2745061437485516,0.16769707283970314,0.22966302478734563,1.0579297033336426,0.08073327031909727,0.22372731490202868,0.09360906901202164,1,1
calibration,20260410,sparse_partial_high_noise,high_skew,1.2163133874347725,-0.6622995711727697,22,0.7118870531237919,132.0,0.1481779001200775,0.39270232232857294,70.92967125560563,0.27357847213318653,0.03722558463594507,0.13055005179749218,0.2014503430587152,1.0800037334979853,0.13630965393678718,1.014767725926505,0.20154566150826736,0,1,0.18902735609863774,1,1,0,0,0,0,0.27329086331687463,0.16663425318281927,0.2279006010096533,1.0629103751303695,0.153403012304403,0.2031116797315872,0.14887696715480098,1,0
calibration,20260411,sparse_full_noisy,low_skew,1.1404088967626327,0.02496537790705635,55,0.4828369474341513,15.8,0.09927855499099107,0.25556419538334274,9.058487082105522,0.2679016628115991,0.0701525795812741,0.20443062050220936,0.11260372947023059,0.9314267320342585,0.20898216472837416,1.027497695474168,0.11291120128846477,1,0,0.18902735609863774,1,1,0,1,1,0,0.3036912923407314,0.19190395302956623,0.2572065787193325,1.0232556985163106,0.11715319824632209,0.14606362193852965,0.11526576324391405,0,1
calibration,20260411,sparse_full_noisy,mid_skew,1.1623349409627526,0.2213605062322707,61,0.36897420854284996,27.0,0.16243643067155494,0.38878760884702185,14.913423413231552,0.3364824065294857,0.09674982789635059,0.07705198687474668,0.1541182912118591,1.082475531493047,0.0798594094697056,1.0075938781508231,0.15474106281192945,0,1,0.18902735609863774,1,1,0,0,0,0,0.27732399948488917,0.17076540678601712,0.23454803377027736,0.9691612076239736,0.19317373333877896,0.08544719525687922,0.19272764086601085,0,0
calibration,20260411,sparse_full_noisy,high_skew,0.8975141620964918,-0.45991871872541895,58,0.49392640054037223,32.2,0.11991441582018056,0.2840149960176511,17.589211523689777,0.2626752108257139,0.06738394566967959,0.09694174699214612,0.08213440337307958,0.9741344756373543,0.07662031354086252,0.979358332051214,0.08184416995472221,1,0,0.18902735609863774,1,1,0,1,1,0,0.24949840830765693,0.15213794157257293,0.20990348546618934,0.9776995106346067,0.08018534853811488,0.2024174456427061,0.08759988814226012,1,0
calibration,20260411,sparse_partial_high_noise,low_skew,1.159371427099871,0.14686963596079392,15,0.9553576451522249,60.2,0.0705649669644581,0.19449804218866495,32.836761432872684,0.07503767572287567,0.017608999606558474,0.1605744654315958,0.16356811073593566,0.9983352773477066,0.1610361497521644,0.9957831612879281,0.16358826581194286,0,1,0.18902735609863774,1,1,0,0,0,0,0.2641709756893428,0.15863242148147733,0.21976625395312505,0.9896857390521835,0.16968568804768747,0.06751846934294309,0.169424096859455,0,0
