split,condition,alpha_strength_bin,geometry_skew_bin,count,point_output_rate,alpha_point_recoverable_rate,gate_precision,trigger_fire_rate_open,mean_correction_flux_open,mean_best_alpha_output_abs_error_open,mean_anchored_alpha_output_abs_error_open,mean_refined_alpha_output_abs_error_open,mean_triggered_alpha_output_abs_error_open,mean_triggered_alpha_bank_log_span_open,triggered_beats_anchored_rate_open,triggered_beats_best_rate_open
calibration,sparse_full_noisy,moderate,low_skew,6,1.0,1.0,1.0,0.16666666666666666,0.06469663540198443,0.10642436905002169,0.1201015933001426,0.10909873640009976,0.11070124243927985,0.10685504814382622,1.0,0.3333333333333333
calibration,sparse_full_noisy,moderate,mid_skew,6,0.8333333333333334,0.16666666666666666,0.2,0.0,0.04662313148680978,0.14055691340423931,0.15769588464871906,0.17045044515211716,0.15769588464871906,0.16846834859502266,1.0,0.4
calibration,sparse_full_noisy,moderate,high_skew,6,0.6666666666666666,0.6666666666666666,1.0,0.5,0.06478637157501155,0.1521565177335945,0.11413058435842086,0.12177614686964669,0.1131964512853055,0.16731767538720754,1.0,0.5
calibration,sparse_partial_high_noise,moderate,low_skew,6,0.8333333333333334,0.16666666666666666,0.2,0.4,0.044385108478945404,0.16667962134002215,0.15637765912172769,0.1403570115049477,0.13800359351040264,0.11509808624966833,1.0,0.6
calibration,sparse_partial_high_noise,moderate,mid_skew,6,0.5,0.5,1.0,0.0,0.04749674166406163,0.1621184625906377,0.12458299827894033,0.12095582390658322,0.12458299827894033,0.04146993537023561,1.0,1.0
calibration,sparse_partial_high_noise,moderate,high_skew,6,0.3333333333333333,0.3333333333333333,0.5,1.0,0.08345224994783415,0.12092197468047072,0.16704396337732402,0.11621375381032478,0.11621375381032478,0.22699346398686865,1.0,0.5
holdout,sparse_full_noisy,moderate,low_skew,3,1.0,0.6666666666666666,0.6666666666666666,0.0,0.05734511034162077,0.15149848197783863,0.1361786160320735,0.11834426165995467,0.1361786160320735,0.09056850160647704,1.0,0.3333333333333333
holdout,sparse_full_noisy,moderate,mid_skew,3,0.3333333333333333,0.3333333333333333,1.0,0.0,0.03777078752639405,0.06953075447763579,0.14183893489601362,0.16971523519803944,0.14183893489601362,0.04978677803644005,1.0,0.0
holdout,sparse_full_noisy,moderate,high_skew,3,1.0,0.6666666666666666,0.6666666666666666,0.0,0.03149011409200805,0.1178376559362393,0.12558008831891168,0.1261155747298716,0.12558008831891168,0.06322718489618935,1.0,0.3333333333333333
holdout,sparse_partial_high_noise,moderate,low_skew,3,0.6666666666666666,0.3333333333333333,0.5,0.0,0.031906881014592325,0.25956975421296685,0.17478902404138857,0.19094824651445136,0.17478902404138857,0.046886728338579,1.0,1.0
holdout,sparse_partial_high_noise,moderate,mid_skew,3,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.05544364591892851,0.21439260576671892,0.1832059345258111,0.1822002359810936,0.1804628667895,0.10364380944820967,1.0,0.6666666666666666
holdout,sparse_partial_high_noise,moderate,high_skew,3,0.6666666666666666,0.0,0.0,0.0,0.045692758303572334,0.2357032984044377,0.20564267878960835,0.23953006306515262,0.20564267878960835,0.037061417906552346,1.0,1.0
confirmation,sparse_full_noisy,moderate,low_skew,3,0.6666666666666666,0.3333333333333333,0.5,0.0,0.033525634958246536,0.0628034667453593,0.09341488018105859,0.08280149253891422,0.09341488018105859,0.07948149756331835,1.0,0.5
confirmation,sparse_full_noisy,moderate,mid_skew,3,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0445969497514378,0.1347067777531404,0.14089469068137592,0.134263479897722,0.14089469068137592,0.0582320151541012,1.0,0.6666666666666666
confirmation,sparse_full_noisy,moderate,high_skew,3,1.0,0.6666666666666666,0.6666666666666666,0.0,0.04439867798295924,0.14336597707427945,0.12495903699861506,0.10659850793079222,0.12495903699861506,0.0869722265497596,1.0,0.3333333333333333
confirmation,sparse_partial_high_noise,moderate,low_skew,3,0.6666666666666666,0.3333333333333333,0.5,0.5,0.08459135738941392,0.16808618423998578,0.15288288558672858,0.1479951989920401,0.132622484219792,0.16857735923404518,1.0,0.5
confirmation,sparse_partial_high_noise,moderate,mid_skew,3,0.6666666666666666,0.3333333333333333,0.5,0.5,0.07642709592470276,0.11358294777955613,0.1317609773311188,0.08636701569360006,0.08850878624178982,0.04969119245310708,1.0,0.5
confirmation,sparse_partial_high_noise,moderate,high_skew,3,0.6666666666666666,0.3333333333333333,0.5,0.0,0.07099249751358241,0.12456395757139666,0.1703600478974499,0.13532295674381672,0.1703600478974499,0.06708183859789205,1.0,0.0
