metric,threshold,direction,calibration_balanced_accuracy,holdout_balanced_accuracy,confirmation_balanced_accuracy,oos_mean_balanced_accuracy
ratio_candidate_times_span_over_effective,0.700453425604268,le,0.6666666666666667,0.5833333333333334,0.8,0.6916666666666667
metric_anchored_span,0.40245538260093466,le,0.625,0.5833333333333334,0.8,0.6916666666666667
ratio_geomspan_over_std,5.526794145630842,ge,0.625,0.5833333333333334,0.8,0.6916666666666667
ratio_std_over_set_span,0.215677985967846,ge,0.5833333333333334,0.5833333333333334,0.7,0.6416666666666666
ratio_ambiguity_over_std,4.067204078827906,ge,0.5833333333333334,0.5833333333333334,0.7,0.6416666666666666
ratio_anchored_span_over_std,2.6055510664922474,le,0.6666666666666667,0.5,0.675,0.5875
ratio_candidate_times_std_over_effective,0.09593711361761116,ge,0.5833333333333334,0.6666666666666666,0.5,0.5833333333333333
ratio_effective_times_anchored_span_over_std,313.8137623146599,ge,0.6666666666666667,0.5833333333333334,0.55,0.5666666666666667
ratio_candidate_times_std_over_ambiguity,46.23775007558089,ge,0.6666666666666667,0.5833333333333333,0.525,0.5541666666666667
ratio_std_over_ambiguity,0.17361303452205679,ge,0.5833333333333334,0.5833333333333334,0.5,0.5416666666666667
ratio_effective_over_count,0.5760205677693698,le,0.6666666666666666,0.4166666666666667,0.575,0.49583333333333335
ratio_count_over_effective,1.736056607611638,ge,0.6666666666666666,0.4166666666666667,0.575,0.49583333333333335
ratio_candidate_times_anchored_span_over_std,638.5207283468762,ge,0.625,0.5833333333333334,0.4,0.4916666666666667
metric_ambiguity,0.5760926425699638,ge,0.5833333333333334,0.5,0.45,0.475
metric_set_span,0.4669723544260509,ge,0.5833333333333334,0.5833333333333333,0.35,0.4666666666666666
ratio_geomspan_times_count_over_effective,1.4511356849586254,ge,0.625,0.4166666666666667,0.5,0.45833333333333337
ratio_candidate_times_ambiguity_over_effective,1.1169508584789662,ge,0.625,0.5,0.325,0.4125
metric_std,0.19396446235883497,ge,0.625,0.3333333333333333,0.3,0.31666666666666665
ratio_std_times_effective_over_count,0.11575752362451355,ge,0.625,0.3333333333333333,0.3,0.31666666666666665
