condition,geometry_skew_bin,trial_in_cell,support_gated_alpha_error,support_gated_fit_rmse,joint_alpha_error,joint_fit_rmse,joint_score,joint_pose_entropy,policy_alpha_error,policy_fit_rmse,policy_choose_joint,oracle_two_alpha_error,oracle_pose_alpha_error
sparse_full_noisy,low_skew,0,0.02146066672266289,0.012287132021904979,0.053337312193588726,0.03125500164134274,0.0017643446061587314,0.4341763801681523,0.02146066672266289,0.012287132021904979,0,0.02146066672266289,0.02146066672266289
sparse_full_noisy,low_skew,1,0.03396212585724201,0.01912610414348389,0.03396212585724201,0.0193700945493426,0.001571978465378971,0.5161561774529656,0.03396212585724201,0.0193700945493426,1,0.03396212585724201,0.021953690323584296
sparse_full_noisy,mid_skew,0,0.009835318762325462,0.006987771158493852,0.009835318762325462,0.006328907239778138,0.0014381134112304021,0.34880699241732444,0.009835318762325462,0.006328907239778138,1,0.009835318762325462,0.009835318762325462
sparse_full_noisy,mid_skew,1,0.012715047409596725,0.022743633164147535,0.012715047409596725,0.01324191297498984,0.001443713505549829,0.3245163361626031,0.012715047409596725,0.01324191297498984,1,0.012715047409596725,0.037509189144288246
sparse_full_noisy,high_skew,0,0.4759277156754953,0.016668984272331405,0.4759277156754953,0.01664906894166943,0.0011162701350356762,0.5728460157507232,0.4759277156754953,0.01664906894166943,1,0.4759277156754953,0.010057743136007602
sparse_full_noisy,high_skew,1,0.18597592571230936,0.015105509073358501,0.18441504927991004,0.017280356359868163,0.0009231567581197037,0.7486470563321196,0.18441504927991004,0.017280356359868163,1,0.18441504927991004,0.004021265513119654
sparse_partial_high_noise,low_skew,0,0.19625242563910106,0.0363575701323503,0.05515155265418503,0.06201778769150248,0.0021454776907069715,0.8457845736704683,0.19625242563910106,0.0363575701323503,0,0.05515155265418503,0.05515155265418503
sparse_partial_high_noise,low_skew,1,0.012290745568467987,0.03640623203564885,0.3229253708329576,0.02988904537056826,0.0020830297294857102,0.6854608875617499,0.012290745568467987,0.03640623203564885,0,0.012290745568467987,0.04596080778510703
sparse_partial_high_noise,mid_skew,0,0.12644113875850138,0.06249985563911853,0.12644113875850138,0.07039387374227316,0.002521610790327207,0.8407433781164245,0.12644113875850138,0.06249985563911853,0,0.12644113875850138,0.021113640702049352
sparse_partial_high_noise,mid_skew,1,0.48511059029671033,0.020745369760385747,0.48511059029671033,0.01959831083520943,0.00247504895239462,0.5521923158266715,0.48511059029671033,0.01959831083520943,1,0.48511059029671033,0.056845528223550934
sparse_partial_high_noise,high_skew,0,0.40336118440108826,0.01344754978272073,0.0265324102104032,0.01597901145084595,0.0021720437724455075,0.6197021899236509,0.0265324102104032,0.01597901145084595,1,0.0265324102104032,0.0265324102104032
sparse_partial_high_noise,high_skew,1,0.09339623164376043,0.03985680650358914,0.41600974402489754,0.04348090628491671,0.002548413164305893,0.6639193709355549,0.09339623164376043,0.03985680650358914,0,0.09339623164376043,0.003438892993117948
