e,alpha1,alpha2,mean_family_distance,max_family_distance
0.1,0.5,0.75,0.5198828768368139,0.6633236260972646
0.1,0.5,1.0,0.7798243152552208,0.9949854391458968
0.1,0.5,1.5,1.0397657536736278,1.3266472521945292
0.1,0.5,2.0,1.169736472882831,1.4924781587188451
0.1,0.75,1.0,0.25994143841840694,0.3316618130486322
0.1,0.75,1.5,0.5198828768368139,0.6633236260972645
0.1,0.75,2.0,0.6498535960460173,0.8291545326215806
0.1,1.0,1.5,0.25994143841840694,0.3316618130486323
0.1,1.0,2.0,0.3899121576276104,0.4974927195729484
0.1,1.5,2.0,0.12997071920920347,0.1658309065243161
0.15,0.5,0.75,0.5165903619820524,0.6591226742379954
0.15,0.5,1.0,0.7748855429730785,0.988684011356993
0.15,0.5,1.5,1.0331807239641049,1.3182453484759908
0.15,0.5,2.0,1.162328314459618,1.4830260170354896
0.15,0.75,1.0,0.2582951809910262,0.3295613371189977
0.15,0.75,1.5,0.5165903619820524,0.6591226742379953
0.15,0.75,2.0,0.6457379524775656,0.8239033427974942
0.15,1.0,1.5,0.2582951809910262,0.3295613371189977
0.15,1.0,2.0,0.3874427714865393,0.4943420056784965
0.15,1.5,2.0,0.1291475904955131,0.16478066855949886
0.2,0.5,0.75,0.5119452676182568,0.6531959531050378
0.2,0.5,1.0,0.767917901427385,0.9797939296575565
0.2,0.5,1.5,1.0238905352365135,1.3063919062100755
0.2,0.5,2.0,1.1518768521410776,1.4696908944863347
0.2,0.75,1.0,0.2559726338091284,0.32659797655251877
0.2,0.75,1.5,0.5119452676182568,0.6531959531050376
0.2,0.75,2.0,0.639931584522821,0.816494941381297
0.2,1.0,1.5,0.2559726338091284,0.3265979765525189
0.2,1.0,2.0,0.3839589507136925,0.48989696482877826
0.2,1.5,2.0,0.1279863169045642,0.16329898827625938
0.25,0.5,0.75,0.5059103383813934,0.6454959281926416
0.25,0.5,1.0,0.7588655075720904,0.9682438922889623
0.25,0.5,1.5,1.0118206767627869,1.2909918563852831
0.25,0.5,2.0,1.1382982613581354,1.4523658384334435
0.25,0.75,1.0,0.2529551691906967,0.3227479640963208
0.25,0.75,1.5,0.5059103383813934,0.6454959281926416
0.25,0.75,2.0,0.632387922976742,0.8068699102408019
0.25,1.0,1.5,0.2529551691906967,0.3227479640963208
0.25,1.0,2.0,0.3794327537860452,0.4841219461444812
0.25,1.5,2.0,0.12647758459534836,0.1613739820481604
0.3,0.5,0.75,0.4984350936150678,0.6359581905881002
0.3,0.5,1.0,0.7476526404226017,0.9539372858821502
0.3,0.5,1.5,0.9968701872301357,1.2719163811762004
0.3,0.5,2.0,1.1214789606339026,1.4309059288232253
0.3,0.75,1.0,0.2492175468075339,0.31797909529405
0.3,0.75,1.5,0.4984350936150678,0.6359581905881001
0.3,0.75,2.0,0.6230438670188349,0.7949477382351251
0.3,1.0,1.5,0.2492175468075339,0.3179790952940501
0.3,1.0,2.0,0.37382632021130086,0.4769686429410751
0.3,1.5,2.0,0.12460877340376696,0.158989547647025
0.35,0.5,0.75,0.48945354546716763,0.6244985458279546
0.35,0.5,1.0,0.7341803182007514,0.936747818741932
0.35,0.5,1.5,0.9789070909343353,1.2489970916559092
0.35,0.5,2.0,1.1012704773011268,1.405121728112898
0.35,0.75,1.0,0.24472677273358381,0.3122492729139774
0.35,0.75,1.5,0.48945354546716763,0.6244985458279547
0.35,0.75,2.0,0.6118169318339596,0.7806231822849434
0.35,1.0,1.5,0.24472677273358381,0.3122492729139773
0.35,1.0,2.0,0.3670901591003757,0.468373909370966
0.35,1.5,2.0,0.12236338636679191,0.1561246364569887
0.4,0.5,0.75,0.478880948015693,0.6110088657365773
0.4,0.5,1.0,0.7183214220235395,0.916513298604866
0.4,0.5,1.5,0.957761896031386,1.2220177314731546
0.4,0.5,2.0,1.0774821330353093,1.374769947907299
0.4,0.75,1.0,0.2394404740078465,0.30550443286828866
0.4,0.75,1.5,0.478880948015693,0.6110088657365773
0.4,0.75,2.0,0.5986011850196162,0.7637610821707217
0.4,1.0,1.5,0.2394404740078465,0.30550443286828866
