e,w,a1,a2,mean_collapse_error,max_collapse_error
0.1,0.3,0.75,1.0,1.7206410541451998e-08,1.7216981716648463e-08
0.1,0.3,0.75,1.5,0.0,0.0
0.1,0.3,0.75,2.5,1.7206406507077917e-08,1.721698540684049e-08
0.1,0.3,0.75,4.0,1.7206410541451998e-08,1.7216981716648463e-08
0.1,0.3,1.0,1.5,1.7206410541451998e-08,1.7216981716648463e-08
0.1,0.3,1.0,2.5,8.370888985096795e-13,4.4545401433289437e-11
0.1,0.3,1.0,4.0,0.0,0.0
0.1,0.3,1.5,2.5,1.7206406507077917e-08,1.721698540684049e-08
0.1,0.3,1.5,4.0,1.7206410541451998e-08,1.7216981716648463e-08
0.1,0.3,2.5,4.0,8.370888985096795e-13,4.4545401433289437e-11
0.1,0.4,0.75,1.0,3.116701740665801e-10,3.118646088046827e-10
0.1,0.4,0.75,1.5,0.0,0.0
0.1,0.4,0.75,2.5,3.245096296182824e-09,3.247190661091672e-09
0.1,0.4,0.75,4.0,3.116701740665801e-10,3.118646088046827e-10
0.1,0.4,1.0,1.5,3.116701740665801e-10,3.118646088046827e-10
0.1,0.4,1.0,2.5,3.5567664702493897e-09,3.5590552698963445e-09
0.1,0.4,1.0,4.0,0.0,0.0
0.1,0.4,1.5,2.5,3.245096296182824e-09,3.247190661091672e-09
0.1,0.4,1.5,4.0,3.116701740665801e-10,3.118646088046827e-10
0.1,0.4,2.5,4.0,3.5567664702493897e-09,3.5590552698963445e-09
0.1,0.5,0.75,1.0,1.7017901754124837e-15,1.004617650818912e-14
0.1,0.5,0.75,1.5,0.0,0.0
0.1,0.5,0.75,2.5,2.010455865838952e-15,5.8621457832171254e-15
0.1,0.5,0.75,4.0,1.7017901754124837e-15,1.004617650818912e-14
0.1,0.5,1.0,1.5,1.7017901754124837e-15,1.004617650818912e-14
0.1,0.5,1.0,2.5,3.0481715069498272e-15,1.1768658633024567e-14
0.1,0.5,1.0,4.0,0.0,0.0
0.1,0.5,1.5,2.5,2.010455865838952e-15,5.8621457832171254e-15
0.1,0.5,1.5,4.0,1.7017901754124837e-15,1.004617650818912e-14
0.1,0.5,2.5,4.0,3.0481715069498272e-15,1.1768658633024567e-14
0.1,0.6,0.75,1.0,3.793368167850215e-15,1.4758138332417635e-14
0.1,0.6,0.75,1.5,0.0,0.0
0.1,0.6,0.75,2.5,3.729508941063532e-15,1.871740617584647e-14
0.1,0.6,0.75,4.0,3.793368167850215e-15,1.4758138332417635e-14
0.1,0.6,1.0,1.5,3.793368167850215e-15,1.4758138332417635e-14
0.1,0.6,1.0,2.5,2.4508762934076823e-15,1.242287599276674e-14
0.1,0.6,1.0,4.0,0.0,0.0
0.1,0.6,1.5,2.5,3.729508941063532e-15,1.871740617584647e-14
0.1,0.6,1.5,4.0,3.793368167850215e-15,1.4758138332417635e-14
0.1,0.6,2.5,4.0,2.4508762934076823e-15,1.242287599276674e-14
0.1,0.7,0.75,1.0,3.2577554482124388e-15,1.2467166888745314e-14
0.1,0.7,0.75,1.5,0.0,0.0
0.1,0.7,0.75,2.5,1.6656656898711933e-15,5.4930801582266845e-15
0.1,0.7,0.75,4.0,3.2577554482124388e-15,1.2467166888745314e-14
0.1,0.7,1.0,1.5,3.2577554482124388e-15,1.2467166888745314e-14
0.1,0.7,1.0,2.5,3.737133971446455e-15,1.2709508105967211e-14
0.1,0.7,1.0,4.0,0.0,0.0
0.1,0.7,1.5,2.5,1.6656656898711933e-15,5.4930801582266845e-15
0.1,0.7,1.5,4.0,3.2577554482124388e-15,1.2467166888745314e-14
0.1,0.7,2.5,4.0,3.737133971446455e-15,1.2709508105967211e-14
0.15,0.3,0.75,1.0,4.024923623976059e-12,2.104931892697842e-10
0.15,0.3,0.75,1.5,0.0,0.0
0.15,0.3,0.75,2.5,1.1920956123101492e-08,1.1928003024548833e-08
0.15,0.3,0.75,4.0,4.024923623976059e-12,2.104931892697842e-10
0.15,0.3,1.0,1.5,4.024923623976059e-12,2.104931892697842e-10
0.15,0.3,1.0,2.5,1.1920975505089929e-08,1.1930086830332157e-08
0.15,0.3,1.0,4.0,0.0,0.0
0.15,0.3,1.5,2.5,1.1920956123101492e-08,1.1928003024548833e-08
0.15,0.3,1.5,4.0,4.024923623976059e-12,2.104931892697842e-10
0.15,0.3,2.5,4.0,1.1920975505089929e-08,1.1930086830332157e-08
0.15,0.4,0.75,1.0,2.9802441951251057e-08,2.982766573845271e-08
0.15,0.4,0.75,1.5,0.0,0.0
0.15,0.4,0.75,2.5,3.576288049267443e-08,3.578562518896479e-08
0.15,0.4,0.75,4.0,2.9802441951251057e-08,2.982766573845271e-08
0.15,0.4,1.0,1.5,2.9802441951251057e-08,2.982766573845271e-08
0.15,0.4,1.0,2.5,5.960476417594605e-09,5.964287594877065e-09
0.15,0.4,1.0,4.0,0.0,0.0
0.15,0.4,1.5,2.5,3.576288049267443e-08,3.578562518896479e-08
0.15,0.4,1.5,4.0,2.9802441951251057e-08,2.982766573845271e-08
0.15,0.4,2.5,4.0,5.960476417594605e-09,5.964287594877065e-09
0.15,0.5,0.75,1.0,1.0536727059529179e-08,1.054392894890647e-08
0.15,0.5,0.75,1.5,0.0,0.0
0.15,0.5,0.75,2.5,1.311814935578169e-11,7.169514490928386e-10
0.15,0.5,0.75,4.0,1.0536727059529179e-08,1.054392894890647e-08
0.15,0.5,1.0,1.5,1.0536727059529179e-08,1.054392894890647e-08
0.15,0.5,1.0,2.5,1.0536922759150146e-08,1.0578214906896509e-08
0.15,0.5,1.0,4.0,0.0,0.0
0.15,0.5,1.5,2.5,1.311814935578169e-11,7.169514490928386e-10
0.15,0.5,1.5,4.0,1.0536727059529179e-08,1.054392894890647e-08
