lambda_ratio,c1,c2,mean_collapse_error,max_collapse_error
0.05,0.75,1.0,5.394746150569441e-16,1.1984580195998454e-14
0.05,0.75,1.5,0.0,0.0
0.05,0.75,2.5,5.410149416373946e-16,2.300954900510365e-14
0.05,0.75,4.0,5.394746150569441e-16,1.1984580195998454e-14
0.05,1.0,1.5,5.394746150569441e-16,1.1984580195998454e-14
0.05,1.0,2.5,4.538346409813174e-16,3.328179837585791e-14
0.05,1.0,4.0,0.0,0.0
0.05,1.5,2.5,5.410149416373946e-16,2.300954900510365e-14
0.05,1.5,4.0,5.394746150569441e-16,1.1984580195998454e-14
0.05,2.5,4.0,4.538346409813174e-16,3.328179837585791e-14
0.1,0.75,1.0,3.973706074786634e-11,1.986821492513021e-08
0.1,0.75,1.5,0.0,0.0
0.1,0.75,2.5,3.9737075238609445e-11,1.986821492513021e-08
0.1,0.75,4.0,3.973706074786634e-11,1.986821492513021e-08
0.1,1.0,1.5,3.973706074786634e-11,1.986821492513021e-08
0.1,1.0,2.5,4.297379827628993e-16,9.746664532491859e-15
0.1,1.0,4.0,0.0,0.0
0.1,1.5,2.5,3.9737075238609445e-11,1.986821492513021e-08
0.1,1.5,4.0,3.973706074786634e-11,1.986821492513021e-08
0.1,2.5,4.0,4.297379827628993e-16,9.746664532491859e-15
0.15,0.75,1.0,5.966068870627044e-16,2.4212112414825126e-14
0.15,0.75,1.5,0.0,0.0
0.15,0.75,2.5,6.261290498229002e-16,2.5457445277345084e-14
0.15,0.75,4.0,5.966068870627044e-16,2.4212112414825126e-14
0.15,1.0,1.5,5.966068870627044e-16,2.4212112414825126e-14
0.15,1.0,2.5,5.297323391499124e-16,2.199977933150489e-14
0.15,1.0,4.0,0.0,0.0
0.15,1.5,2.5,6.261290498229002e-16,2.5457445277345084e-14
0.15,1.5,4.0,5.966068870627044e-16,2.4212112414825126e-14
0.15,2.5,4.0,5.297323391499124e-16,2.199977933150489e-14
0.2,0.75,1.0,6.898129556466568e-16,3.490291223591692e-14
0.2,0.75,1.5,0.0,0.0
0.2,0.75,2.5,6.15521863052789e-16,3.2389936950335905e-14
0.2,0.75,4.0,6.898129556466568e-16,3.490291223591692e-14
0.2,1.0,1.5,6.898129556466568e-16,3.490291223591692e-14
0.2,1.0,2.5,5.079658126497889e-16,1.1309888474645052e-14
0.2,1.0,4.0,0.0,0.0
0.2,1.5,2.5,6.15521863052789e-16,3.2389936950335905e-14
0.2,1.5,4.0,6.898129556466568e-16,3.490291223591692e-14
0.2,2.5,4.0,5.079658126497889e-16,1.1309888474645052e-14
0.25,0.75,1.0,6.302894571751321e-16,6.357436406569627e-14
0.25,0.75,1.5,0.0,0.0
0.25,0.75,2.5,6.089400791223992e-16,3.0515520665908014e-14
0.25,0.75,4.0,6.302894571751321e-16,6.357436406569627e-14
0.25,1.0,1.5,6.302894571751321e-16,6.357436406569627e-14
0.25,1.0,2.5,6.208708766235964e-16,3.3059044736749324e-14
0.25,1.0,4.0,0.0,0.0
0.25,1.5,2.5,6.089400791223992e-16,3.0515520665908014e-14
0.25,1.5,4.0,6.302894571751321e-16,6.357436406569627e-14
0.25,2.5,4.0,6.208708766235964e-16,3.3059044736749324e-14
0.3,0.75,1.0,6.689350131275839e-16,1.792393661167642e-14
0.3,0.75,1.5,0.0,0.0
0.3,0.75,2.5,7.182245976839499e-16,3.154594641063824e-14
0.3,0.75,4.0,6.689350131275839e-16,1.792393661167642e-14
0.3,1.0,1.5,6.689350131275839e-16,1.792393661167642e-14
0.3,1.0,2.5,7.289222433764736e-16,3.8716195275709425e-14
0.3,1.0,4.0,0.0,0.0
0.3,1.5,2.5,7.182245976839499e-16,3.154594641063824e-14
0.3,1.5,4.0,6.689350131275839e-16,1.792393661167642e-14
0.3,2.5,4.0,7.289222433764736e-16,3.8716195275709425e-14
0.35,0.75,1.0,8.368499367392412e-16,8.396511819441875e-14
0.35,0.75,1.5,0.0,0.0
0.35,0.75,2.5,9.20616973647156e-16,5.2958685644474696e-14
0.35,0.75,4.0,8.368499367392412e-16,8.396511819441875e-14
0.35,1.0,1.5,8.368499367392412e-16,8.396511819441875e-14
0.35,1.0,2.5,9.100477671987688e-16,5.125512742424674e-14
0.35,1.0,4.0,0.0,0.0
0.35,1.5,2.5,9.20616973647156e-16,5.2958685644474696e-14
0.35,1.5,4.0,8.368499367392412e-16,8.396511819441875e-14
0.35,2.5,4.0,9.100477671987688e-16,5.125512742424674e-14
0.4,0.75,1.0,9.48015885080287e-16,5.783505309064879e-14
0.4,0.75,1.5,0.0,0.0
0.4,0.75,2.5,8.832730961552678e-16,4.0596774038482085e-14
0.4,0.75,4.0,9.48015885080287e-16,5.783505309064879e-14
0.4,1.0,1.5,9.48015885080287e-16,5.783505309064879e-14
0.4,1.0,2.5,8.337496069562018e-16,6.380546786081534e-14
0.4,1.0,4.0,0.0,0.0
0.4,1.5,2.5,8.832730961552678e-16,4.0596774038482085e-14
0.4,1.5,4.0,9.48015885080287e-16,5.783505309064879e-14
0.4,2.5,4.0,8.337496069562018e-16,6.380546786081534e-14
0.45,0.75,1.0,9.681630276807825e-16,6.892925967048092e-14
0.45,0.75,1.5,0.0,0.0
0.45,0.75,2.5,1.2779866232422064e-15,1.1028635999822787e-13
0.45,0.75,4.0,9.681630276807825e-16,6.892925967048092e-14
0.45,1.0,1.5,9.681630276807825e-16,6.892925967048092e-14
0.45,1.0,2.5,9.407402192983484e-16,4.411370946224284e-14
0.45,1.0,4.0,0.0,0.0
0.45,1.5,2.5,1.2779866232422064e-15,1.1028635999822787e-13
0.45,1.5,4.0,9.681630276807825e-16,6.892925967048092e-14
0.45,2.5,4.0,9.407402192983484e-16,4.411370946224284e-14
0.5,0.75,1.0,8.639280409626744e-16,7.107777905047868e-14
0.5,0.75,1.5,0.0,0.0
0.5,0.75,2.5,8.409391571614565e-16,6.949771397253797e-14
0.5,0.75,4.0,8.639280409626744e-16,7.107777905047868e-14
0.5,1.0,1.5,8.639280409626744e-16,7.107777905047868e-14
0.5,1.0,2.5,1.0112188063300665e-15,7.107821273081862e-14
0.5,1.0,4.0,0.0,0.0
0.5,1.5,2.5,8.409391571614565e-16,6.949771397253797e-14
0.5,1.5,4.0,8.639280409626744e-16,7.107777905047868e-14
0.5,2.5,4.0,1.0112188063300665e-15,7.107821273081862e-14
0.55,0.75,1.0,9.685804207140824e-16,5.3230973000216545e-14
0.55,0.75,1.5,0.0,0.0
0.55,0.75,2.5,9.409513440152472e-16,3.406780066383952e-14
0.55,0.75,4.0,9.685804207140824e-16,5.3230973000216545e-14
0.55,1.0,1.5,9.685804207140824e-16,5.3230973000216545e-14
0.55,1.0,2.5,1.0255795131218974e-15,7.812705672425992e-14
0.55,1.0,4.0,0.0,0.0
0.55,1.5,2.5,9.409513440152472e-16,3.406780066383952e-14
0.55,1.5,4.0,9.685804207140824e-16,5.3230973000216545e-14
0.55,2.5,4.0,1.0255795131218974e-15,7.812705672425992e-14
0.6,0.75,1.0,9.780892996266022e-16,5.1296327010226955e-14
0.6,0.75,1.5,0.0,0.0
0.6,0.75,2.5,1.2502172612092876e-15,8.207410445715269e-14
0.6,0.75,4.0,9.780892996266022e-16,5.1296327010226955e-14
0.6,1.0,1.5,9.780892996266022e-16,5.1296327010226955e-14
0.6,1.0,2.5,9.167361815833753e-16,3.077809783131031e-14
0.6,1.0,4.0,0.0,0.0
0.6,1.5,2.5,1.2502172612092876e-15,8.207410445715269e-14
0.6,1.5,4.0,9.780892996266022e-16,5.1296327010226955e-14
0.6,2.5,4.0,9.167361815833753e-16,3.077809783131031e-14
0.65,0.75,1.0,1.085653244771419e-15,4.94994670252602e-14
0.65,0.75,1.5,0.0,0.0
0.65,0.75,2.5,1.3595919594148828e-15,1.0656195255960031e-13
0.65,0.75,4.0,1.085653244771419e-15,4.94994670252602e-14
0.65,1.0,1.5,1.085653244771419e-15,4.94994670252602e-14
0.65,1.0,2.5,1.4808530194777357e-15,1.4256235026124493e-13
0.65,1.0,4.0,0.0,0.0
0.65,1.5,2.5,1.3595919594148828e-15,1.0656195255960031e-13
0.65,1.5,4.0,1.085653244771419e-15,4.94994670252602e-14
0.65,2.5,4.0,1.4808530194777357e-15,1.4256235026124493e-13
0.7,0.75,1.0,1.3059085486632007e-15,1.0535028319604204e-13
0.7,0.75,1.5,0.0,0.0
0.7,0.75,2.5,1.4620668776120254e-15,9.500765600858177e-14
0.7,0.75,4.0,1.3059085486632007e-15,1.0535028319604204e-13
0.7,1.0,1.5,1.3059085486632007e-15,1.0535028319604204e-13
0.7,1.0,2.5,1.1829198734083054e-15,4.482398511128956e-14
0.7,1.0,4.0,0.0,0.0
0.7,1.5,2.5,1.4620668776120254e-15,9.500765600858177e-14
0.7,1.5,4.0,1.3059085486632007e-15,1.0535028319604204e-13
0.7,2.5,4.0,1.1829198734083054e-15,4.482398511128956e-14
0.75,0.75,1.0,1.3696933013075592e-15,6.20424844531584e-14
0.75,0.75,1.5,0.0,0.0
0.75,0.75,2.5,1.5166755387782073e-15,9.926837494669092e-14
0.75,0.75,4.0,1.3696933013075592e-15,6.20424844531584e-14
0.75,1.0,1.5,1.3696933013075592e-15,6.20424844531584e-14
0.75,1.0,2.5,1.6981134581757752e-15,1.3028889822709647e-13
0.75,1.0,4.0,0.0,0.0
0.75,1.5,2.5,1.5166755387782073e-15,9.926837494669092e-14
0.75,1.5,4.0,1.3696933013075592e-15,6.20424844531584e-14
0.75,2.5,4.0,1.6981134581757752e-15,1.3028889822709647e-13
0.8,0.75,1.0,1.4595915230377373e-15,4.5593872290441585e-14
0.8,0.75,1.5,0.0,0.0
0.8,0.75,2.5,2.033908650024852e-15,1.0578430492680369e-13
0.8,0.75,4.0,1.4595915230377373e-15,4.5593872290441585e-14
0.8,1.0,1.5,1.4595915230377373e-15,4.5593872290441585e-14
0.8,1.0,2.5,1.5272065755120311e-15,9.438550226197147e-14
0.8,1.0,4.0,0.0,0.0
0.8,1.5,2.5,2.033908650024852e-15,1.0578430492680369e-13
0.8,1.5,4.0,1.4595915230377373e-15,4.5593872290441585e-14
0.8,2.5,4.0,1.5272065755120311e-15,9.438550226197147e-14
0.85,0.75,1.0,2.682521085500135e-15,4.2845719623256816e-13
0.85,0.75,1.5,0.0,0.0
0.85,0.75,2.5,2.7165728824177547e-15,2.7421229349677834e-13
0.85,0.75,4.0,2.682521085500135e-15,4.2845719623256816e-13
0.85,1.0,1.5,2.682521085500135e-15,4.2845719623256816e-13
0.85,1.0,2.5,2.1976167075013756e-15,1.5424531188210663e-13
0.85,1.0,4.0,0.0,0.0
